,album_id,album_name,album_type,album_popularity,release_date,total_tracks,album_uri,album_href
0,06qRSgIo9l4Gf7ACV6JZQq,Michi Teyu Ku (Overflowing),single,57,2024-03-14,1,spotify:album:06qRSgIo9l4Gf7ACV6JZQq,https://api.spotify.com/v1/albums/06qRSgIo9l4Gf7ACV6JZQq
1,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,album,67,2020-05-20,11,spotify:album:1OojCidx0eoPKch2M0Kz31,https://api.spotify.com/v1/albums/1OojCidx0eoPKch2M0Kz31
2,7Ip9X7pnkhJ4cwDoBnvneD,LOVE ALL SERVE ALL,album,61,2022-03-23,11,spotify:album:7Ip9X7pnkhJ4cwDoBnvneD,https://api.spotify.com/v1/albums/7Ip9X7pnkhJ4cwDoBnvneD
3,1DeciVpwShHj82dFZJiO0N,Best of Fujii Kaze 2020-2024,compilation,0,2024-05-28,10,spotify:album:1DeciVpwShHj82dFZJiO0N,https://api.spotify.com/v1/albums/1DeciVpwShHj82dFZJiO0N
13,2OXwORzPU4tm1Skiv6l9KT,Kirari Remixes (Asia Edition),album,58,2022-01-14,9,spotify:album:2OXwORzPU4tm1Skiv6l9KT,https://api.spotify.com/v1/albums/2OXwORzPU4tm1Skiv6l9KT
14,0v6vQ9tMopUTccn0wUvzQD,Hana,single,50,2023-10-12,1,spotify:album:0v6vQ9tMopUTccn0wUvzQD,https://api.spotify.com/v1/albums/0v6vQ9tMopUTccn0wUvzQD
18,0BsBIukVE2pUB4xmWrkeAt,Workin' Hard,single,49,2023-08-24,1,spotify:album:0BsBIukVE2pUB4xmWrkeAt,https://api.spotify.com/v1/albums/0BsBIukVE2pUB4xmWrkeAt
21,0i6jJH5oVQh0KL8INSSPpu,grace,single,50,2022-10-09,1,spotify:album:0i6jJH5oVQh0KL8INSSPpu,https://api.spotify.com/v1/albums/0i6jJH5oVQh0KL8INSSPpu
28,7grlPzIHgZINOD2GhYBROR,へでもねーよ,single,38,2020-10-30,1,spotify:album:7grlPzIHgZINOD2GhYBROR,https://api.spotify.com/v1/albums/7grlPzIHgZINOD2GhYBROR
35,1290P26ZPIKJSHOrOyqLXD,LOVE ALL COVER ALL,album,47,2022-03-23,11,spotify:album:1290P26ZPIKJSHOrOyqLXD,https://api.spotify.com/v1/albums/1290P26ZPIKJSHOrOyqLXD
36,1AHbVBPlzsI0k18agZQ6zr,HELP EVER HURT COVER,album,38,2020-05-20,10,spotify:album:1AHbVBPlzsI0k18agZQ6zr,https://api.spotify.com/v1/albums/1AHbVBPlzsI0k18agZQ6zr
40,3IGw7uRv2y5lTMlIe8PLeT,Hana - Ballad,single,33,2023-11-02,4,spotify:album:3IGw7uRv2y5lTMlIe8PLeT,https://api.spotify.com/v1/albums/3IGw7uRv2y5lTMlIe8PLeT
42,3Pwex5PyfxbrNTAwl6FGo5,まつり,single,39,2022-03-20,1,spotify:album:3Pwex5PyfxbrNTAwl6FGo5,https://api.spotify.com/v1/albums/3Pwex5PyfxbrNTAwl6FGo5
